"","idno","cntry","nwspol","netusoft","netustm","polintr","psppsgva","cptppola","trstprl","trstlgl","trstplc","trstplt","trstprt","trstsci","happy","inprdsc","gndr","agea"
"1",10002,"BG",80,1,6666,4,1,2,3,2,3,3,3,6,6,2,2,76
"2",10006,"BG",63,5,180,1,4,4,5,8,9,6,7,10,9,3,1,43
"3",10009,"BG",390,5,405,3,3,2,3,3,3,3,2,6,5,4,2,50
"4",10024,"BG",60,5,80,4,1,7,2,2,3,0,0,3,3,1,2,51
"5",10027,"BG",120,5,120,1,3,1,0,0,0,0,0,3,3,0,1,70
"6",10048,"BG",60,5,60,1,1,1,0,0,0,0,0,5,5,3,2,31
"7",10053,"BG",30,5,120,3,2,1,5,4,7,5,3,6,7,2,1,40
"8",10055,"BG",70,5,260,3,3,2,2,2,4,1,1,5,5,2,1,48
"9",10059,"BG",60,1,6666,3,4,8,2,3,7,2,2,8,6,1,1,71
"10",10061,"BG",60,1,6666,3,1,1,0,0,2,0,0,9,5,2,1,71
"11",10064,"BG",300,5,90,1,3,2,4,1,1,5,7,6,7,4,2,71
"12",10068,"BG",0,1,6666,4,3,2,5,5,5,4,4,5,7,0,2,72
"13",10071,"BG",30,5,30,2,3,8,0,7,2,7,2,10,7,0,1,52
"14",10077,"BG",30,1,6666,2,1,4,4,5,9,5,6,9,4,1,2,85
"15",10078,"BG",60,1,6666,3,1,1,1,4,5,2,2,9,2,0,2,83
"16",10079,"BG",30,5,60,3,1,2,3,0,0,2,1,1,7,0,2,52
"17",10081,"BG",120,5,240,2,2,1,2,2,5,2,3,6,7,2,1,47
"18",10088,"BG",150,5,120,2,2,1,2,3,5,2,1,8,6,2,1,46
"19",10090,"BG",30,5,60,4,1,1,0,4,4,0,0,4,5,1,1,34
"20",10093,"BG",120,5,180,2,2,8,3,3,5,3,3,6,5,0,2,71
"21",10104,"BG",30,5,90,3,1,1,0,4,5,0,3,5,7,1,1,53
"22",10107,"BG",60,5,120,3,1,1,1,2,4,3,3,5,9,1,1,32
"23",10112,"BG",70,5,150,3,1,1,0,0,7,0,0,8,2,0,2,60
"24",10130,"BG",60,4,120,2,2,1,2,1,1,2,3,1,6,5,2,59
"25",10133,"BG",8888,4,8888,2,4,2,6,2,3,3,3,8,6,2,1,71
"26",10134,"BG",15,5,360,4,1,1,3,3,5,2,2,7,9,3,2,39
"27",10136,"BG",120,1,6666,4,8,2,0,0,0,0,4,1,1,3,2,78
"28",10141,"BG",15,5,270,3,3,2,0,1,4,0,0,5,8,4,2,49
"29",10145,"BG",30,5,180,4,8,5,0,0,3,0,0,6,8,0,1,29
"30",10146,"BG",0,5,60,2,2,3,8,8,8,7,6,9,5,4,2,67
"31",10149,"BG",60,4,120,2,3,2,4,3,3,4,4,6,6,1,2,55
"32",10156,"BG",120,2,6666,3,1,1,7,4,7,4,2,8,7,2,2,85
"33",10169,"BG",120,1,6666,3,8,1,0,88,5,1,1,88,1,0,1,64
"34",10176,"BG",15,5,180,4,1,1,0,2,4,1,1,8,8,1,2,17
"35",10180,"BG",10,5,60,4,1,7,0,0,5,0,0,5,7,0,2,24
"36",10182,"BG",45,5,50,2,3,1,4,4,8,1,1,10,9,2,2,69
"37",10183,"BG",120,5,60,2,2,2,0,0,0,0,0,4,5,1,2,65
"38",10187,"BG",140,4,85,3,3,1,2,1,3,3,1,4,5,1,1,44
"39",10203,"BG",260,1,6666,3,3,4,5,6,5,8,5,10,10,1,2,67
"40",10206,"BG",0,5,600,4,2,2,4,2,3,2,2,7,9,1,2,21
"41",10212,"BG",10,5,120,4,2,1,3,3,5,0,0,7,5,1,1,19
"42",10213,"BG",30,5,60,3,4,3,0,2,5,0,0,5,7,2,2,30
"43",10215,"BG",270,5,180,2,1,2,3,5,3,3,3,4,8,4,1,66
"44",10220,"BG",30,5,120,2,2,2,3,5,6,5,0,5,9,2,2,31
"45",10223,"BG",180,5,180,2,2,2,4,5,5,4,3,5,6,4,1,68
"46",10225,"BG",180,1,6666,2,2,2,2,3,4,2,2,7,6,1,2,79
"47",10245,"BG",90,5,240,2,2,2,0,0,5,3,88,6,5,88,2,66
"48",10249,"BG",150,1,6666,2,1,1,0,2,4,0,0,5,5,2,1,72
"49",10263,"BG",60,2,6666,2,1,1,0,0,2,4,3,8,6,0,2,84
"50",10265,"BG",0,5,180,4,8,3,0,88,4,0,0,6,8,0,1,19
"51",10271,"BG",60,5,210,3,5,8,2,4,7,1,1,8,5,1,1,68
"52",10273,"BG",30,5,600,3,2,1,3,3,6,2,3,7,7,2,1,44
"53",10279,"BG",90,5,180,2,1,1,0,3,4,5,7,6,7,1,2,75
"54",10280,"BG",60,1,6666,2,2,1,5,5,6,5,5,10,5,3,2,71
"55",10283,"BG",20,5,120,3,1,1,3,5,7,0,5,5,8,4,1,20
"56",10288,"BG",15,5,360,3,3,4,3,4,6,2,3,7,5,1,1,47
"57",10295,"BG",45,5,30,3,3,2,0,2,7,1,3,3,5,0,2,61
"58",10297,"BG",60,4,120,3,3,4,3,6,5,2,2,7,9,4,1,51
"59",10304,"BG",60,5,60,2,3,3,5,5,5,5,5,8,5,0,2,78
"60",10312,"BG",30,5,600,2,2,2,3,5,5,5,3,3,8,0,1,55
"61",10313,"BG",20,5,180,3,8,4,5,5,7,5,5,8,10,4,2,58
"62",10314,"BG",30,5,210,4,1,1,0,0,1,0,0,3,7,1,2,52
"63",10318,"BG",210,5,360,2,1,1,2,3,5,2,3,8,8,3,1,18
"64",10322,"BG",20,5,600,3,1,3,0,2,5,0,0,3,8,2,1,29
"65",10329,"BG",150,1,6666,2,2,2,1,1,3,1,0,5,3,1,1,77
"66",10333,"BG",30,5,30,3,3,2,3,7,7,2,2,3,5,0,1,44
"67",10340,"BG",0,5,120,4,1,1,0,0,0,0,0,0,7,1,1,21
"68",10368,"BG",160,5,380,2,3,2,3,3,7,4,4,7,7,1,2,55
"69",10369,"BG",150,2,6666,2,3,2,6,3,6,6,5,8,6,2,1,55
"70",10379,"BG",90,1,6666,3,8,8,2,4,8,4,5,88,1,2,1,57
"71",10380,"BG",180,5,120,3,4,2,3,3,3,3,3,8,5,3,2,59
"72",10393,"BG",90,5,60,2,4,3,8,8,10,6,8,9,9,4,2,44
"73",10394,"BG",0,5,510,4,2,2,2,2,3,2,3,6,5,2,2,15
"74",10397,"BG",20,5,300,2,1,3,0,0,0,0,0,7,7,2,1,40
"75",10398,"BG",135,5,180,3,4,7,0,4,5,0,0,5,4,1,2,41
"76",10401,"BG",0,5,120,3,1,1,1,88,7,0,0,8,7,4,2,23
"77",10402,"BG",8888,5,120,4,8,1,3,5,8,3,2,8,8,3,2,22
"78",10404,"BG",180,5,60,4,2,2,0,0,3,0,0,8,5,2,1,43
"79",10421,"BG",68,5,150,2,2,2,4,2,5,0,1,8,8,4,1,27
"80",10445,"BG",120,1,6666,2,2,1,4,0,7,3,5,7,7,4,1,73
"81",10454,"BG",30,5,120,4,4,8,3,3,7,2,3,8,5,1,2,38
"82",10460,"BG",300,1,6666,2,1,1,3,3,5,2,3,6,7,3,1,72
"83",10465,"BG",160,4,90,2,2,2,1,0,3,0,0,0,5,2,2,41
"84",10466,"BG",20,5,30,3,3,2,5,5,5,5,5,7,7,1,2,40
"85",10470,"BG",360,5,210,1,3,3,5,5,5,5,5,8,7,5,1,66
"86",10478,"BG",40,5,60,2,2,1,0,0,0,0,0,0,1,2,1,47
"87",10482,"BG",30,5,120,3,4,1,1,0,8,2,3,8,8,4,1,32
"88",10484,"BG",150,1,6666,3,3,2,7,8,8,8,5,8,3,1,1,67
"89",10485,"BG",60,5,60,3,2,3,0,3,5,1,0,6,5,0,2,59
"90",10486,"BG",180,5,180,2,2,1,2,2,3,2,2,2,9,2,1,39
"91",10489,"BG",8888,5,150,3,3,3,3,3,0,3,3,5,7,1,2,49
"92",10490,"BG",180,1,6666,2,3,3,7,7,7,7,7,7,8,3,2,70
"93",10494,"BG",10,5,660,4,3,1,2,3,3,2,2,7,5,2,1,33
"94",10501,"BG",270,1,6666,2,1,1,0,4,5,1,1,8,2,0,1,87
"95",10502,"BG",60,5,150,2,3,1,3,0,2,0,3,5,8,4,2,56
"96",10508,"BG",65,5,130,4,2,1,1,0,1,0,2,6,5,1,1,36
"97",10516,"BG",60,5,300,2,1,1,0,0,0,0,0,5,8,2,1,52
"98",10526,"BG",0,5,180,3,1,2,0,1,3,2,2,3,8,3,2,33
"99",10528,"BG",0,5,130,2,2,1,4,5,5,2,0,8,10,4,1,20
"100",10542,"BG",120,1,6666,2,2,2,0,4,6,2,2,7,0,1,2,80
"101",10546,"BG",60,5,600,4,1,1,0,0,0,0,0,5,7,3,1,25
"102",10557,"BG",60,5,30,2,1,1,0,0,5,0,0,10,8,4,2,37
"103",10558,"BG",0,5,480,4,1,1,3,5,6,0,0,5,9,1,2,29
"104",10561,"BG",120,1,6666,2,2,2,6,3,6,3,4,7,8,2,2,79
"105",10566,"BG",120,5,360,4,8,5,0,0,0,0,0,2,9,2,2,39
"106",10567,"BG",40,5,90,3,2,7,3,6,7,6,5,6,7,3,1,61
"107",10572,"BG",0,5,300,4,1,1,0,1,1,2,2,1,9,1,2,47
"108",10573,"BG",8888,5,60,3,2,1,5,5,8,3,3,9,5,0,2,62
"109",10574,"BG",8888,4,8888,2,2,2,2,2,2,1,0,4,5,2,1,31
"110",10575,"BG",30,5,600,1,2,1,1,6,5,2,1,8,8,1,1,28
"111",10579,"BG",180,1,6666,3,1,1,0,1,1,0,0,5,0,0,1,72
"112",10581,"BG",20,3,6666,4,3,3,0,0,2,0,0,0,3,1,2,63
"113",10586,"BG",20,5,120,2,8,1,0,0,0,0,0,0,6,2,2,36
"114",10598,"BG",0,5,720,4,1,1,5,5,5,5,4,5,8,2,2,36
"115",10601,"BG",60,5,480,2,2,1,6,4,8,5,5,8,9,2,1,40
"116",10626,"BG",15,1,6666,4,1,1,0,0,3,0,0,6,5,2,1,66
"117",10629,"BG",60,5,30,2,1,1,3,4,5,0,0,4,5,0,1,57
"118",10632,"BG",30,5,120,4,1,1,0,3,4,0,0,2,5,2,1,26
"119",10638,"BG",60,2,6666,2,2,2,3,0,5,2,2,4,4,0,1,71
"120",10644,"BG",30,5,600,2,1,1,0,2,5,0,0,5,7,2,1,37
"121",10648,"BG",60,5,180,3,1,1,5,0,4,5,2,5,5,1,2,60
"122",10651,"BG",30,5,720,3,1,3,0,0,0,0,0,0,6,2,1,36
"123",10660,"BG",60,5,150,2,1,1,0,0,1,0,0,5,2,1,2,69
"124",10664,"BG",120,1,6666,3,3,1,3,2,5,1,0,7,0,0,2,72
"125",10680,"BG",30,3,6666,2,2,1,5,3,7,4,4,9,5,2,2,71
"126",10684,"BG",60,4,60,3,1,1,0,1,3,0,0,3,5,1,1,52
"127",10687,"BG",20,5,8888,4,1,8,2,4,5,0,0,6,8,1,1,46
"128",10699,"BG",60,4,60,3,3,1,0,0,0,0,0,0,5,4,1,54
"129",10703,"BG",120,1,6666,2,2,2,5,0,0,0,0,6,6,1,1,75
"130",10722,"BG",60,1,6666,3,3,1,0,0,0,0,0,6,3,1,1,60
"131",10735,"BG",15,5,120,4,4,1,5,3,1,3,2,5,8,3,1,37
"132",10745,"BG",15,5,90,2,4,3,5,5,5,5,5,5,10,4,2,35
"133",10757,"BG",120,1,6666,2,3,2,3,1,7,2,0,8,1,1,1,71
"134",10759,"BG",0,5,300,4,1,1,5,5,8,88,88,10,8,6,2,26
"135",10766,"BG",30,5,180,4,3,3,3,4,7,4,3,10,7,4,2,56
"136",10782,"BG",120,5,120,2,1,3,6,4,4,5,5,7,6,1,1,68
"137",10784,"BG",180,1,6666,1,3,3,0,5,5,7,7,8,2,4,2,76
"138",10793,"BG",150,5,120,2,3,2,3,2,2,4,5,5,6,2,1,69
