"","context","type","date_published","url","author_name","claim_reviewed","review_rating"
"1","http://schema.org","ClaimReview","2019-01-03","https://www.politifact.com/facebook-fact-checks/statements/2019/jan/03/facebook-posts/did-michelle-obama-once-say-white-folks-are-whats-/","PolitiFact","Quotes Michelle Obama as saying, ""White folks are what’s wrong with America.""","Pants on Fire"
"2","http://schema.org","ClaimReview","2018-04-23","https://www.politifact.com/texas/statements/2018/apr/23/ted-cruz/ted-cruz-correct-facebook-shut-down-chick-fil-appr/","PolitiFact","Says Facebook shut down a ""Chick-Fil-A Appreciation Day.""","Half True"
"3","http://schema.org","ClaimReview","2018-06-12","http://www.politifact.com/truth-o-meter/article/2018/jun/12/fact-checking-donald-trump-singapore-north-korea/","PolitiFact","""We haven’t given up anything other than … I agreed to meet.""","Will military drills end?"
"4","http://schema.org","ClaimReview","2017-10-26","https://www.factcheck.org/2017/10/no-isis-arrests-congress/","FactCheck.org","""BREAKING: 2 Democrat Congressmen On ISIS Payroll Arrested For Treason.""","False"
"5","http://schema.org","ClaimReview","2016-09-01","https://www.politifact.com/texas/statements/2016/sep/01/james-woods/james-woods-says-dallas-cowboys-cant-honor-dead-of/","PolitiFact","The ""Dallas Cowboys can’t put a sticker on their helmets for the 5 police officers who were killed.""","True"
"6","http://schema.org","ClaimReview","2016-09-23","https://www.politifact.com/new-york/statements/2016/sep/23/national-republican-congressional-committee/suozzi-passed-major-tax-hikes-nassau-county/","PolitiFact","Tom Suozzi raised taxes ""by hundreds of millions of dollars"" as Nassau County executive.","True"
"7","http://schema.org","ClaimReview","2017-03-13","https://www.politifact.com/missouri/statements/2017/mar/02/kip-kendrick/kendrick-mostly-right-about-reduced-corporate-tax-/","PolitiFact","""Corporate entities are paying a lot less taxes this year then they have in the past. Part of that is from a loophole in a bill that was passed in 2015.""","Mostly True"
"8","http://schema.org","ClaimReview","2019-02-15","https://www.washingtonpost.com/politics/2019/02/15/trumps-false-claim-that-violent-crime-hasnt-gone-down-long-while/","Washington Post","""Violent crime is now going down for the first time in a long while.”","Four Pinocchios"
"9","http://schema.org","ClaimReview","2017-05-17","https://www.politifact.com/punditfact/statements/2017/may/17/jorge-ramos/jorge-ramos-border-communities-some-safest-country/","PolitiFact","""Some of the safest communities in the United States are along the border.""","Mostly True"
"10","http://schema.org","ClaimReview","2017-09-07","https://www.politifact.com/truth-o-meter/article/2017/sep/07/what-did-trumps-tweet-about-daca-recipients-mean/","PolitiFact","""For all of those (DACA) that are concerned about your status during the 6 month period, you have nothing to worry about - No action!""","Multiple ways to evaluate"
"11","http://schema.org","ClaimReview","2017-12-18","http://www.politifact.com/truth-o-meter/article/2017/dec/18/Donald-Trumps-misleading-claims-in-Kate-Steinle/","PolitiFact","Kate Steinle's shooter ""came back and back over the weakly protected Obama border""","Mostly entered before Obama"
"12","http://schema.org","ClaimReview","2016-07-15","https://www.politifact.com/truth-o-meter/statements/2011/jan/21/mike-pence/mike-pence-says-dodd-frank-financial-regulation-bi/","PolitiFact","The financial regulatory bill [Dodd-Frank] ""will kill jobs.""","Mostly False"
"13","http://schema.org","ClaimReview","2016-07-27","https://www.politifact.com/north-carolina/statements/2016/jul/27/donald-trump/donald-trump-says-he-and-bernie-sanders-are-very-s/","PolitiFact","Says he and Bernie Sanders have ""very similar"" views on trade","Mostly True"
"14","http://schema.org","ClaimReview","2017-08-28","https://www.politifact.com/truth-o-meter/statements/2017/aug/28/blog-posting/there-are-no-sharks-swimming-streets-houston-or-an/","PolitiFact","Photo shows a shark swimming on a freeway in Houston.","Pants on Fire"
"15","http://schema.org","ClaimReview","2018-08-29","https://www.politifact.com/texas/statements/2018/aug/29/ted-cruz/ted-cruz-says-beto-orourke-voted-against-tax-relie/","PolitiFact","Says Beto O’Rourke irresponsibly ""voted against"" Hurricane Harvey ""tax relief.""","Mostly True"
"16","http://schema.org","ClaimReview","2016-07-15","https://www.politifact.com/truth-o-meter/statements/2012/jan/27/newt-gingrich/newt-gingrich-revises-claim-balanced-budgets-impro/","PolitiFact","""We balanced the budget with the 1997 Balanced Budget Act, and ultimately had four consecutive balanced budgets.""","Mostly True"
"17","http://schema.org","ClaimReview","2017-02-28","https://www.politifact.com/punditfact/statements/2017/feb/28/blog-posting/trump-did-not-give-every-working-american-612-thro/","PolitiFact","""Trump just gave every working, legal man, woman and child in the USA $612 each!""","Pants on Fire"
"18","http://schema.org","ClaimReview","2019-04-25","https://www.politifact.com/north-carolina/statements/2019/apr/25/stony-rushing/rushing-right-half-nc9-republicans-dont-live-distr/","PolitiFact","Says ""5 out of 10"" GOP candidates don’t live in North Carolina’s 9th Congressional District.","True"
"19","http://schema.org","ClaimReview","2017-06-14","https://www.politifact.com/georgia/statements/2017/jun/14/karen-handel/iran-complying-nuclear-deal-yes-small-hiccups/","PolitiFact","Iran has ""violated the terms of the (nuclear) deal.""","Mostly False"
"20","http://schema.org","ClaimReview","2017-12-11","https://www.politifact.com/punditfact/statements/2017/dec/11/evening-world/fake-news-about-washington-post-and-roy-moore-accu/","PolitiFact","""Woman says she was offered big money by Washington Post to accuse Roy Moore of misconduct.""","Pants on Fire"
"21","http://schema.org","ClaimReview","2018-11-14","https://www.washingtonpost.com/politics/2018/11/14/does-trump-tax-cut-give-percent-benefits-top-one-percent/","Washington Post","""83 percent of that tax cut goes to the top 1 percent, the richest people in this country.""","Two Pinocchios"
"22","http://schema.org","ClaimReview","2019-01-31","https://www.factcheck.org/2019/01/hoyer-inflates-cbos-shutdown-cost-estimate/","FactCheck.org","""I think you probably saw the CBO report about the cost of the shutdown. $11 billion is their estimate.""","Not the Whole Story"
"23","http://schema.org","ClaimReview","2019-04-02","https://www.politifact.com/facebook-fact-checks/statements/2019/mar/27/facebook-posts/no-congress-didnt-repeal-law-bars-muslims-holding-/","PolitiFact","""Congress quietly repealed the McCarran Warner Act of 1952 forbidding Muslims from holding office.""","False"
"24","http://schema.org","ClaimReview","2017-03-23","https://www.politifact.com/truth-o-meter/statements/2017/mar/23/mike-pence/discussing-health-care-mike-pence-wrong-about/","PolitiFact","Says President Donald Trump’s proposal to allow Americans to buy health insurance across state lines would make it the same as ""the way you buy car insurance"" today.","False"
"25","http://schema.org","ClaimReview","2017-10-31","https://www.politifact.com/truth-o-meter/statements/2017/oct/31/james-lankford/lankford-overstates-slow-growth-past-100-years/","PolitiFact","""For the last 10 years, our economy has grown at less than 2 percent on average every single year for 10 years. We have not had a decade like that in a century in America.""","Half True"
"26","http://schema.org","ClaimReview","2017-10-11","https://www.washingtonpost.com/news/fact-checker/wp/2017/06/01/every-russia-story-trump-said-was-a-hoax-by-democrats-a-timeline/?utm_term=.00a9c65f4a3c","Washington Post","""Russia talk is FAKE NEWS put out by the Dems, and played up by the media, in order to mask the big election defeat and the illegal leaks!""","Not the whole story"
"27","http://schema.org","ClaimReview","2019-02-18","https://www.factcheck.org/2019/02/orourke-didnt-trash-seniors-and-veterans/","FactCheck.org","Claims that former Democratic Rep. Beto O'Rourke referred to seniors and wounded veterans as ""garbage.""","False"
"28","http://schema.org","ClaimReview","2018-06-01","https://www.factcheck.org/2018/05/a-lobbyist-in-congress-not-exactly/","FactCheck.org","“Jim Renacci’s been a lobbyist even while in Congress.”","Not the Whole Story"
"29","http://schema.org","ClaimReview","2017-10-23","https://www.politifact.com/new-york/statements/2017/oct/21/andrew-cuomo/state-birth-control-rule-doesnt-cover-all-insuranc/","PolitiFact","""Women in our state will continue to have cost-free access to reproductive health care""","Mostly True"
"30","http://schema.org","ClaimReview","2016-09-28","https://www.washingtonpost.com/news/fact-checker/wp/2016/09/28/trumps-false-claim-that-stop-and-frisk-was-not-ruled-unconstitutional/","Washington Post","“No, you're wrong"" that stop and frisk was ruled unconstitutional in New York.","Four Pinocchios"
"31","http://schema.org","ClaimReview","2018-04-10","https://www.factcheck.org/2018/04/pruitts-tall-tale-on-toxic-cleanups/","FactCheck.org","""We'll have almost 30 sites off the [Superfund priorities] list this year,"" which has ""almost never been done.""","False"
"32","http://schema.org","ClaimReview","2018-06-13","https://www.politifact.com/truth-o-meter/statements/2018/jun/13/jacky-rosen/did-nevadas-heller-back-bill-cut-pre-existing-cond/","PolitiFact","Says Dean Heller helped ""craft a partisan repeal bill that also would have slashed coverage protections for people with pre-existing conditions.""","Half True"
"33","http://schema.org","ClaimReview","2018-03-07","https://www.politifact.com/wisconsin/statements/2018/mar/07/mahlon-mitchell/first-response-was-applaud-walker-recognizing-fire/","PolitiFact","""When @ScottWalker told firefighters we didn’t need to worry about Act 10, we said hell no, we stand with working Wisconsinites everywhere.""","Mostly False"
"34","http://schema.org","ClaimReview","2017-02-27","https://www.politifact.com/truth-o-meter/statements/2017/feb/27/louie-gohmert/protesters-are-paid-disrupt-town-hall-meetings-goh/","PolitiFact","Political activists are ""being paid"" to protest members of Congress.","False"
"35","http://schema.org","ClaimReview","2017-07-24","https://www.politifact.com/punditfact/statements/2017/jul/24/blog-posting/no-gretchen-carlson-didnt-say-2nd-amendment-writte/","PolitiFact","Say Gretchen Carlson said, ""The 2nd Amendment Was Written Before Guns Were Invented.""","Pants on Fire"
"36","http://schema.org","ClaimReview","2017-01-26","https://www.washingtonpost.com/news/fact-checker/wp/2017/01/25/trumps-absurd-claim-the-2012-pew-report-researcher-was-groveling/","Washington Post","“Then he’s groveling again. You know I always talk about the reporters that grovel when they want to write something that you want to hear but not necessarily millions of people want to hear or have to hear.”","Four Pinocchios"
"37","http://schema.org","ClaimReview","2018-03-02","https://www.politifact.com/truth-o-meter/statements/2018/mar/02/tom-cole/tom-cole-half-oklahoma-homes-have-gun/","PolitiFact","Probably one out of every two households in Oklahoma has a gun.""","Mostly True"
"38","http://schema.org","ClaimReview","2016-12-02","https://www.politifact.com/wisconsin/statements/2016/dec/02/sean-duffy/donald-trump-backer-sean-duffy-links-attacks-polic/","PolitiFact","""Black Lives Matter, who are attacking law enforcement officers"" -- Barack Obama ""had them to the White House.""","Mostly False"
"39","http://schema.org","ClaimReview","2016-08-22","https://www.washingtonpost.com/news/fact-checker/wp/2016/08/22/clintons-misleading-citation-of-15-million-jobs-under-obama/","Washington Post","“Under their leadership we’ve created 15 million new private-sector jobs.""","Three Pinocchios"
"40","http://schema.org","ClaimReview","2016-07-19","https://www.politifact.com/truth-o-meter/statements/2016/jul/18/jeff-sessions/jeff-sessions-says-lowest-percentage-americans-are/","PolitiFact","""We have the lowest percentage of Americans actually holding a job in 40 years.""","Mostly True"
"41","http://schema.org","ClaimReview","2017-07-11","https://www.politifact.com/truth-o-meter/statements/2017/jul/11/donald-trump/did-john-podesta-deny-cia-and-fbi-access-dnc-serve/","PolitiFact","Says John Podesta ""refused to give the DNC server to the FBI and the CIA. Disgraceful!""","False"
"42","http://schema.org","ClaimReview","2016-10-28","https://www.politifact.com/truth-o-meter/statements/2016/oct/28/hillary-clinton/clinton-says-kids-are-healthier/","PolitiFact","""We are seeing kids who are healthier.""","Half True"
"43","http://schema.org","ClaimReview","2018-09-21","https://www.politifact.com/wisconsin/statements/2018/sep/21/scott-walker/tony-evers-supports-cutting-prison-population-50-r/","PolitiFact","Says Tony Evers ""wants to cut Wisconsin's prison population in half, a dangerous plan that today would mean releasing thousands of violent criminals back into our communities.""","Half True"
"44","http://schema.org","ClaimReview","2019-05-16","https://www.politifact.com/west-virginia/statements/2019/may/16/west-virginia-democratic-party/fact-checking-median-pay-black-hispanic-women/","PolitiFact","""Black women make only around 63 cents while Native American women earn 58 cents, and Hispanic women make just 54 cents in comparison to every dollar a man makes.""","Mostly True"
"45","http://schema.org","ClaimReview","2018-06-22","https://www.factcheck.org/2018/06/stormy-daniels-didnt-announce-2020-campaign/","FactCheck.org","“Stormy Daniels Announces Plans To Run For President”","False"
"46","http://schema.org","ClaimReview","2016-05-05","https://www.washingtonpost.com/news/fact-checker/wp/2016/05/05/the-sanders-campaigns-phony-math-on-superdelegates/","Washington Post","“During the course of 2008, over 120 superdelegates switched their quote-unquote allegiance in that process.""","Four Pinocchios"
"47","http://schema.org","ClaimReview","2016-10-06","https://www.politifact.com/missouri/statements/2016/oct/06/jason-kander/kander-supported-second-amendment-while-office/","PolitiFact","""In the state legislature, I supported Second Amendment rights.""","Mostly True"
"48","http://schema.org","ClaimReview","2017-04-11","https://www.politifact.com/truth-o-meter/statements/2016/jun/03/hillary-clinton/yes-donald-trump-did-call-climate-change-chinese-h/","PolitiFact","Says ""Donald Trump says climate change is a hoax invented by the Chinese.""","Mostly True"
"49","http://schema.org","ClaimReview","2016-09-27","https://www.politifact.com/truth-o-meter/statements/2016/sep/26/hillary-clinton/hillary-clinton-says-donald-trump-has-said-he-woul/","PolitiFact","Says Donald Trump once suggested that he “would try to negotiate down the national debt.”","Mostly True"
"50","http://schema.org","ClaimReview","2017-11-06","https://www.politifact.com/truth-o-meter/statements/2017/nov/06/patrick-morrisey/do-joe-manchin-and-evan-jenkins-support-clinton-ca/","PolitiFact","Says Evan ""Jenkins has the same positions on the issues as Joe Manchin: supporting Hillary (Clinton), supporting cap-and-trade, supporting Planned Parenthood, many tax increases.""","Mostly False"
"51","http://schema.org","ClaimReview","2017-08-16","https://www.politifact.com/illinois/statements/2017/aug/16/jeff-sessions/jeff-sessions-stretches-link-criminal-aliens-and-c/","PolitiFact","Chicago city officials ""have adopted an official policy of protecting criminal aliens who prey on their own residents.""","False"
"52","http://schema.org","ClaimReview","2017-03-30","https://www.politifact.com/truth-o-meter/statements/2017/mar/30/jeff-sessions/jeff-sessions-misleads-saying-inspector-general-fo/","PolitiFact","""Just last May, the Department of Justice inspector general found that these (‘sanctuary city’) policies also violate federal law.""","Mostly False"
"53","http://schema.org","ClaimReview","2017-03-31","https://www.politifact.com/global-news/statements/2017/mar/31/nicholas-burns/are-there-more-military-band-members-diplomats/","PolitiFact","""There are about as many members of the Armed Forces marching bands as there are American diplomats.""","Mostly False"
"54","http://schema.org","ClaimReview","2018-03-29","https://www.politifact.com/truth-o-meter/article/2018/mar/29/facts-donald-trump-amazon-taxes-usps-retail/","PolitiFact","Amazon pays ""little or no taxes to state & local governments, use our Postal System as their Delivery Boy (causing tremendous loss to the U.S.), and are putting many thousands of retailers out of business!""","Lacks context"
"55","http://schema.org","ClaimReview","2016-10-18","https://www.washingtonpost.com/news/fact-checker/wp/2016/10/18/clintons-bogus-claim-that-trump-didnt-want-to-save-the-auto-industry/","Washington Post","""Donald Trump said rescuing the auto industry didn’t really matter very much. He said, and I quote again, ‘Let it go.’ ""","Four Pinocchios"
"56","http://schema.org","ClaimReview","2016-09-02","https://www.politifact.com/texas/statements/2016/sep/02/donna-howard/donna-howard-says-child-care-some-states-costs-mor/","PolitiFact","Child care costs ""in some states now exceed the average price tag for college tuition.""","True"
"57","http://schema.org","ClaimReview","2017-08-03","https://www.politifact.com/truth-o-meter/statements/2017/aug/03/donald-trump/false-trumps-claim-about-illegal-immigration-under/","PolitiFact","""The border is down 78 percent. Under past administrations, the border didn’t go down -- it went up.""","False"
"58","http://schema.org","ClaimReview","2018-02-01","https://www.politifact.com/punditfact/statements/2018/feb/01/usa-train-news/rep-paul-gosar-asks-police-arrest-illegal-immigran/","PolitiFact","""Rep. Paul Gosar asks Capitol Police to arrest illegal immigrants attending State of the Union.""","True"
"59","http://schema.org","ClaimReview","2017-09-29","https://www.politifact.com/new-york/statements/2017/sep/29/edward-cox/new-york-has-most-people-leaving-other-states-coun/","PolitiFact","New York has ""the biggest outmigration of citizens of any state.""","Mostly True"
"60","http://schema.org","ClaimReview","2017-06-21","https://www.politifact.com/florida/statements/2017/jun/21/gus-bilirakis/gus-bilirakis-cites-flawed-study-defend-us-wit/","PolitiFact","A study by the National Economics Research Association showed that the deal could cost 2.7 million lost jobs in the U.S. by 2025 should our country adhere to the commitments made by the Obama Administration.","False"
"61","http://schema.org","ClaimReview","2016-07-15","https://www.politifact.com/truth-o-meter/statements/2015/nov/10/chris-christie/christie-us-worst-recovery-wwii/","PolitiFact","Says the United States is in ""the worst recovery from an economic recession since World War II.""","Half True"
"62","http://schema.org","ClaimReview","2017-07-07","https://www.politifact.com/new-york/statements/2017/jul/07/raymond-walter/where-are-property-taxes-highest-new-york/","PolitiFact","""Western New Yorkers pay some of the highest property taxes in the state.""","Half True"
